,model,year,params,MAE,MSE,R2
2,LinearRegression,2015,poly=True,55422.60187950099,8112648388.864053,0.9860938378670925
3,LinearRegression,2016,poly=True,59986.25914495514,9420937022.461706,0.9833416782799713
24,LassoRegression,2015,"poly=True,alpha=10",66891.39571805348,12573039197.63581,0.9784481326929285
25,LassoRegression,2016,"poly=True,alpha=10",73948.16500677406,16196244462.889212,0.9713614208145357
26,RidgeRegression,2015,"poly=True,alpha=0.1",91983.95061690804,22171365140.68141,0.9619953209389145
27,RidgeRegression,2016,"poly=True,alpha=0.1",93861.07998076626,24969226126.499523,0.9558488289515507
6,RidgeRegression,2015,"poly=False,alpha=0.1",150983.69371615475,108092581319.8977,0.8147148885113377
4,LassoRegression,2015,"poly=False,alpha=10",150799.64281840803,108324383908.88571,0.8143175479351431
0,LinearRegression,2015,poly=False,150863.06285752275,108337291048.91757,0.8142954233744137
7,RidgeRegression,2016,"poly=False,alpha=0.1",147897.30113902764,106095541403.42197,0.8123993762462269
5,LassoRegression,2016,"poly=False,alpha=10",147463.1038464257,106255557836.34209,0.8121164314379006
1,LinearRegression,2016,poly=False,147509.47133809613,106284842416.69312,0.8120646497563375
11,LinearRegression,2016,"no_neigh,poly=True",290067.71971365355,227688518629.10397,0.5973958231291444
15,LassoRegression,2016,"no_neigh,poly=True,alpha=100",289353.9562647312,228770889674.39224,0.5954819492703269
19,RidgeRegression,2016,"no_neigh,poly=True,alpha=10",289028.8052632051,228901553110.52496,0.5952509071191106
14,LassoRegression,2015,"no_neigh,poly=True,alpha=100",299355.83561867365,241696021115.69092,0.5857007606631808
10,LinearRegression,2015,"no_neigh,poly=True",300347.3956033299,242128318230.175,0.5849597457103012
18,RidgeRegression,2015,"no_neigh,poly=True,alpha=10",299732.33500368556,242383475588.66782,0.5845223719420165
22,SVM,2015,"poly=False,kernel=linear,C=10000",190950.69655804022,270991408445.1766,0.5354845567279334
23,SVM,2016,"poly=False,kernel=linear,C=10000",185963.32776059836,266507800915.27484,0.5287546580601232
9,LinearRegression,2016,"no_neigh,poly=False",318227.659995347,335369011617.96643,0.4069926508222934
13,LassoRegression,2016,"no_neigh,poly=False,alpha=100",318098.91765452677,335387410623.43896,0.40696011726944625
17,RidgeRegression,2016,"no_neigh,poly=False,alpha=10",318244.06526890595,335610503379.3115,0.4065656394280308
16,RidgeRegression,2015,"no_neigh,poly=False,alpha=1",318424.64852758864,347603305777.16705,0.4041615393183863
12,LassoRegression,2015,"no_neigh,poly=False,alpha=10",318410.93681198533,347618472157.0143,0.404135542119073
8,LinearRegression,2015,"no_neigh,poly=False",318408.1046131291,347640305526.68304,0.40409811680936303
21,SVM,2016,"no_neigh,poly=False,kernel=poly,C=10000",240750.83761698948,354778760447.87726,0.3726718778734135
20,SVM,2015,"no_neigh,poly=False,kernel=poly,C=10000",257035.34778551248,379629867041.82336,0.34926373872873595
